Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
tie,1,2,1,135.0,84.0,100.0,91.0
away_win,6,0,4,253.0,137.0,139.0,124.0
home_win,2,1,0,15.0,17.0,3.0,8.0
home_win,0,1,0,94.0,82.0,30.0,56.0
away_win,0,5,2,71.0,82.0,149.0,73.0
home_win,0,0,0,35.0,39.0,5.0,41.0
home_win,0,1,0,5.0,11.0,78.0,28.0
away_win,1,6,1,22.0,79.0,77.0,92.0
tie,3,7,3,63.0,70.0,100.0,77.0
away_win,0,0,1,99.0,81.0,128.0,138.0
tie,0,2,0,72.0,34.0,101.0,74.0
away_win,45,28,19,144.0,118.0,96.0,135.0
away_win,0,0,0,82.0,93.0,119.0,78.0
away_win,0,0,0,137.0,92.0,133.0,45.0
home_win,0,0,0,4.0,1.0,18.0,22.0
tie,4,2,2,166.0,103.0,154.0,87.0
away_win,0,0,1,5.0,31.0,15.0,26.0
away_win,2,8,1,74.0,94.0,147.0,85.0
home_win,4,0,0,84.0,42.0,100.0,81.0
away_win,5,5,5,160.0,75.0,164.0,95.0
home_win,7,22,8,130.0,94.0,117.0,78.0
away_win,0,3,0,26.0,153.0,156.0,105.0
home_win,1,6,2,54.0,57.0,98.0,88.0
home_win,0,0,0,113.0,193.0,17.0,64.0
away_win,4,3,8,73.0,89.0,109.0,98.0
home_win,3,1,0,120.0,71.0,115.0,91.0
home_win,6,0,0,60.0,74.0,24.0,131.0
home_win,7,1,0,171.0,53.0,36.0,68.0
home_win,6,4,1,97.0,79.0,73.0,90.0
tie,0,1,1,21.0,34.0,70.0,83.0
home_win,3,0,1,281.0,172.0,172.0,145.0
home_win,2,0,0,22.0,12.0,15.0,33.0
away_win,0,0,0,46.0,73.0,116.0,97.0
home_win,4,0,2,39.0,35.0,29.0,50.0
home_win,8,2,5,106.0,72.0,56.0,56.0
home_win,5,0,1,60.0,67.0,62.0,163.0
away_win,0,3,0,77.0,86.0,70.0,65.0
home_win,2,0,0,21.0,16.0,3.0,15.0
home_win,1,0,0,55.0,36.0,44.0,71.0
away_win,33,8,9,196.0,148.0,89.0,129.0
away_win,6,0,0,114.0,111.0,124.0,158.0
away_win,0,1,0,22.0,8.0,111.0,62.0
tie,4,10,4,107.0,123.0,144.0,83.0
away_win,4,0,1,68.0,60.0,47.0,72.0
tie,0,0,0,267.0,178.0,97.0,103.0
away_win,0,3,0,35.0,38.0,262.0,135.0
home_win,4,0,0,88.0,62.0,14.0,82.0
home_win,4,1,0,135.0,70.0,131.0,111.0
away_win,0,7,4,36.0,55.0,111.0,74.0
away_win,0,1,0,3.0,1.0,94.0,87.0
away_win,0,1,0,0.0,5.0,5.0,0.0
home_win,1,2,0,71.0,84.0,70.0,95.0
away_win,40,65,30,95.0,103.0,122.0,105.0
away_win,0,1,0,69.0,34.0,36.0,15.0
tie,0,0,1,17.0,64.0,32.0,79.0
tie,2,2,3,89.0,43.0,55.0,70.0
tie,3,4,3,133.0,144.0,162.0,143.0
home_win,3,0,1,193.0,78.0,56.0,140.0
tie,0,0,0,24.0,35.0,112.0,93.0
home_win,0,0,0,99.0,87.0,81.0,82.0
away_win,2,7,0,54.0,77.0,108.0,66.0
home_win,0,0,0,21.0,6.0,134.0,71.0
away_win,1,1,0,132.0,77.0,78.0,99.0
home_win,1,4,1,108.0,113.0,152.0,84.0
home_win,1,2,0,13.0,34.0,34.0,39.0
home_win,5,0,0,180.0,58.0,8.0,54.0
home_win,6,2,0,104.0,73.0,34.0,100.0
away_win,3,1,4,173.0,108.0,195.0,86.0
away_win,0,1,0,32.0,72.0,167.0,92.0
home_win,3,0,1,179.0,118.0,141.0,115.0
home_win,3,2,2,164.0,100.0,166.0,72.0
away_win,0,1,1,61.0,61.0,115.0,56.0
home_win,2,0,0,39.0,77.0,35.0,88.0
home_win,2,0,0,24.0,34.0,9.0,13.0
tie,1,4,2,100.0,88.0,146.0,91.0
home_win,0,1,0,21.0,24.0,17.0,30.0
home_win,2,0,0,87.0,62.0,1.0,56.0
home_win,0,1,2,185.0,55.0,152.0,106.0
home_win,11,16,3,39.0,34.0,111.0,63.0
away_win,0,0,0,48.0,20.0,127.0,62.0
home_win,4,0,0,156.0,91.0,50.0,70.0
tie,0,5,0,16.0,35.0,54.0,70.0
away_win,1,1,0,16.0,32.0,118.0,91.0
away_win,3,1,1,26.0,34.0,32.0,27.0
away_win,0,0,0,79.0,36.0,77.0,118.0
home_win,6,1,0,113.0,85.0,109.0,89.0
tie,3,2,1,52.0,55.0,44.0,20.0
away_win,0,0,1,23.0,77.0,87.0,64.0
home_win,0,0,0,0.0,0.0,0.0,0.0
home_win,4,1,2,78.0,86.0,77.0,89.0
home_win,5,2,0,80.0,98.0,73.0,100.0
home_win,0,0,0,61.0,116.0,88.0,84.0
home_win,1,1,0,81.0,104.0,18.0,13.0
away_win,13,32,13,75.0,90.0,180.0,95.0
tie,22,15,15,216.0,137.0,108.0,146.0
tie,9,2,1,79.0,79.0,19.0,53.0
home_win,2,3,4,185.0,89.0,90.0,78.0
away_win,3,4,2,80.0,63.0,106.0,85.0
home_win,0,0,0,81.0,70.0,115.0,86.0
away_win,2,11,4,67.0,94.0,144.0,70.0
tie,1,0,0,110.0,77.0,56.0,49.0
home_win,0,0,0,82.0,62.0,5.0,9.0
home_win,0,0,0,173.0,124.0,21.0,15.0
home_win,0,0,0,94.0,75.0,168.0,153.0
home_win,1,2,0,113.0,77.0,92.0,82.0
away_win,5,21,2,59.0,109.0,154.0,88.0
